fmpo,skos:exactMatch seko,owl:deprecated,skos:prefLabel_fi,skos:prefLabel_sv,skos:prefLabel_en,skos:altLabel,alt_lang,skos:hiddenLabel,hidden_lang,spatial-uri,dct:spatial,skos:topConceptOf,skos:broader,skos:broader_Label,editorial_issue_URL,YSO-ID,wikidata-id,skos:editorialNote,H&S_notation,H&S-ID,MIMO-ID,dbpedia,SEKO-LCMPT-mapping,LCMPT-ID,rdfs:seeAlso,dct:isReplacedBy ,skos:related,skos:definition,skos:scopeNote,skos:changeNote,skos:historyNote,skos:modified,seko:statusNote,skos:noteSeko1,iconclass-uri
fmpo:00010,,,,,,kymmenkielinen kantele,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00011,http://urn.fi/urn:nbn:fi:au:seko:00011,,10-kielinen kitara,10-strängad gitarr,ten-string guitar,,,,,,,,fmpo:00504,kitara,,,https://www.wikidata.org/entity/Q2569413,,,,,,,,,,,,,,,,TARKISTA,"Lähinnä Narciso Yepesin tunnetuksi tekemä klassisen kitaran 10-kielinen erikoismalli, jota ei pidä sekoittaa décacorde-nimiseen 10-kieliseen harppukitaraan. Maailmalla tunnetaan lukuisia erilaisia kymmenen kieltä sisältää kitaramallia.",
fmpo:00011,,,,,,décacorde (kitara),fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00011,,,,,,kymmenenkielinen kitara,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00011,,,,,,kymmenkielinen kitara,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00011,,,,,,,,decacorde (kitara),fi,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00012,http://urn.fi/urn:nbn:fi:au:seko:00012,,12-kielinen kitara,12-strängad gitarr,twelve-string guitar,,,,,,,,fmpo:00504,kitara,,,http://www.wikidata.org/entity/Q678090,,,,,,,,,,,,,,,,TARKISTA,"Suurikokoinen kaksinnetuin teräskielin varustettu kitara, jota käytetään lähinnä populaarimusiikissa.",
fmpo:00012,,,,,,kaksitoistakielinen kitara,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00013,http://urn.fi/urn:nbn:fi:au:seko:00013,,13-kielinen kantele,13-strängad kantele,13-string kantele,,,,,,,,fmpo:00470,kantele,,,http://www.wikidata.org/entity/Q116189338,,,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373,,,,,,,,,TARKISTA,,
fmpo:00013,,,,,,kolmetoistakielinen kantele,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00014,http://urn.fi/urn:nbn:fi:au:seko:00014,,aburukuwa,aburukuwa,aburukuwa,,,,,http://www.yso.fi/onto/yso/p106015,Ghana,,fmpo:01040,talking drum,,,http://www.wikidata.org/entity/Q3395204,,,,,,,,,,,,,,,,TARKISTA,Ghanalainen sylinterinmuotoinen rumpu.,
fmpo:00014,,,,,,abrukwa,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00015,http://urn.fi/urn:nbn:fi:au:seko:00015,,acordeon,acordeon,acordeon,,,,,http://www.yso.fi/onto/yso/p105030,Romania,,fmpo:00764,pianoharmonikka,,,https://www.wikidata.org/entity/Q109120755,,,,,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015001,,,,,,,,,TARKISTA,Romanialainen pianoharmonikka.,
fmpo:00016,http://urn.fi/urn:nbn:fi:au:seko:00016,,adufe,adufe,adufe,,,,,"http://www.yso.fi/onto/yso/p105209,http://www.yso.fi/onto/yso/p105409,http://www.yso.fi/onto/yso/p105005",Espanja|Portugal|Latinalainen Amerikka,,fmpo:01050,tamburiini,,,https://www.wikidata.org/entity/Q13408004,,,,,,,,,,,,,,,,TARKISTA,"Espanjassa, Portugalissa ja Latinalaisessa Amerikassa käytetty kehärumpu.",
fmpo:00017,http://urn.fi/urn:nbn:fi:au:seko:00017,,afuchê,cabasa,cabasa,,,,,,,,fmpo:00627,lyömäsoitin,https://github.com/NatLibFi/SEKO/issues/25,,http://www.wikidata.org/entity/Q1024685,"MERGE  with ""cabasa"" seko:00177?",,,,,,,,,,,,,,,KESKEN,"Sambassa käytettävä, siemenverkolla päällystetty hedelmän tai kookospähkinän kuoresta valmistettu helistin.",
fmpo:00017,,,,,,afochê,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00017,,,,,,cabasa,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00017,,,,,,,,afoche,fi,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00017,,,,,,,,afuche,fi,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00018,http://urn.fi/urn:nbn:fi:au:seko:00018,,agbomboya,agbomboya,agbomboya,,,,,http://www.yso.fi/onto/yso/p105850,Zaire,,fmpo:00709,näppäilysoitin,,,https://www.wikidata.org/entity/Q101967894,,,,,,,,https://www.oxfordreference.com/view/10.1093/acref/9780199743391.001.0001/acref-9780199743391-e-65,,,,,,,,TARKISTA,Zairelainen lamellofoni (sormipiano).,
fmpo:00018,,,,,,abongboya,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
