LCSH-label,LCSH-URI,LCSH-broader-label,LCSH-broader-URI,spatial
Jaquemarts,http://id.loc.gov/authorities/subjects/sh85069745,Bells,http://id.loc.gov/authorities/subjects/sh85013057,
Porcelain bells,http://id.loc.gov/authorities/subjects/sh85104983,Bells,http://id.loc.gov/authorities/subjects/sh85013057,
Sistro,http://id.loc.gov/authorities/subjects/sh2002004335,Bells,http://id.loc.gov/authorities/subjects/sh85013057,
Tap bells,http://id.loc.gov/authorities/subjects/sh88006042,Bells,http://id.loc.gov/authorities/subjects/sh85013057,
Celesta-chime,http://id.loc.gov/authorities/subjects/sh2002004313,Carillons,http://id.loc.gov/authorities/subjects/sh85020322,
Handchimes,http://id.loc.gov/authorities/subjects/sh91000466,Handbells,http://id.loc.gov/authorities/subjects/sh85058658,
Bones (Musical instrument),http://id.loc.gov/authorities/subjects/sh85015556,Clappers (Musical instrument),http://id.loc.gov/authorities/subjects/sh85026559,
Jin qian ban (Musical instrument),http://id.loc.gov/authorities/subjects/sh89000434,Clappers (Musical instrument),http://id.loc.gov/authorities/subjects/sh85026559,China
Crotales,http://id.loc.gov/authorities/subjects/sh2002002860,Cymbals,http://id.loc.gov/authorities/subjects/sh85035141,
Finger cymbals,http://id.loc.gov/authorities/subjects/sh99011316,Cymbals,http://id.loc.gov/authorities/subjects/sh85035141,
Jhāñjh,http://id.loc.gov/authorities/subjects/sh2005006690,Cymbals,http://id.loc.gov/authorities/subjects/sh85035141,India
Arará (Drum),http://id.loc.gov/authorities/subjects/sh98005044,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Atabaque,http://id.loc.gov/authorities/subjects/sh91002796,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Brazil
Babadok,http://id.loc.gov/authorities/subjects/sh2011000689,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Timor--Leste
Bass drum,http://id.loc.gov/authorities/subjects/sh94008705,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Bongo,http://id.loc.gov/authorities/subjects/sh85015558,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Bonkó,http://id.loc.gov/authorities/subjects/sh98003202,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Bronze drum,http://id.loc.gov/authorities/subjects/sh85017118,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Cajón (Musical instrument),http://id.loc.gov/authorities/subjects/sh98005536,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Catá (Musical instrument),http://id.loc.gov/authorities/subjects/sh98005534,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Ceṇḍa,http://id.loc.gov/authorities/subjects/sh96003976,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Congas,http://id.loc.gov/authorities/subjects/sh85031082,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Cuíca,http://id.loc.gov/authorities/subjects/sh2009006694,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Brazil
Damba (Drum),http://id.loc.gov/authorities/subjects/sh88003379,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Ghana
Dhimay,http://id.loc.gov/authorities/subjects/sh94002406,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Nepal
Dholi,http://id.loc.gov/authorities/subjects/sh2003002124,Drum,http://id.loc.gov/authorities/subjects/sh85039773,"Armenia,,Georgia,Russia"
Djembe,http://id.loc.gov/authorities/subjects/sh99013972,Drum,http://id.loc.gov/authorities/subjects/sh85039773,West Africa
Ekue,http://id.loc.gov/authorities/subjects/sh98007388,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Frame drums,http://id.loc.gov/authorities/subjects/sh87003799,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Ghaṭa,http://id.loc.gov/authorities/subjects/sh96003868,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Arab countries
Hourglass drum,http://id.loc.gov/authorities/subjects/sh85062529,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Kañjirā,http://id.loc.gov/authorities/subjects/sh96004191,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Kendang,http://id.loc.gov/authorities/subjects/sh2016001631,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Southeast Asia
Lambeg drum,http://id.loc.gov/authorities/subjects/sh2002002636,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Ireland
Mādal,http://id.loc.gov/authorities/subjects/sh2001002361,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India;Nepal
Mridanga,http://id.loc.gov/authorities/subjects/sh85088214,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Nāykhīṃ,http://id.loc.gov/authorities/subjects/sh90001532,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Nepal
Ngoma (Drum),http://id.loc.gov/authorities/subjects/sh2005000124,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Africa
Par (Musical instrument),http://id.loc.gov/authorities/subjects/sh2005006693,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Pung (Drum),http://id.loc.gov/authorities/subjects/sh85109108,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Rebana,http://id.loc.gov/authorities/subjects/sh97006217,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Indonesia;Malaysia
Snare drum,http://id.loc.gov/authorities/subjects/sh87003761,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Tabla,http://id.loc.gov/authorities/subjects/sh85131789,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Taiko,http://id.loc.gov/authorities/subjects/sh98001608,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Japan
Tamboril,http://id.loc.gov/authorities/subjects/sh96010805,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Tambou,http://id.loc.gov/authorities/subjects/sh85132175,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Tavil,http://id.loc.gov/authorities/subjects/sh96004187,Drum,http://id.loc.gov/authorities/subjects/sh85039773,India
Timbales criollos,http://id.loc.gov/authorities/subjects/sh98005486,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Timpani,http://id.loc.gov/authorities/subjects/sh85135469,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Tom-tom,http://id.loc.gov/authorities/subjects/sh2003002994,Drum,http://id.loc.gov/authorities/subjects/sh85039773,
Tumba (Musical instrument),http://id.loc.gov/authorities/subjects/sh98005527,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Tupan,http://id.loc.gov/authorities/subjects/sh85138688,Drum,http://id.loc.gov/authorities/subjects/sh85039773,"Bulgaria,North Macedonia;Serbia"
Yuka (Musical instrument),http://id.loc.gov/authorities/subjects/sh98005542,Drum,http://id.loc.gov/authorities/subjects/sh85039773,Cuba
Quinto (Drum),http://id.loc.gov/authorities/subjects/sh2005006516,Congas,http://id.loc.gov/authorities/subjects/sh85031082,Cuba
Bodhrán,http://id.loc.gov/authorities/subjects/sh85015214,Frame drums,http://id.loc.gov/authorities/subjects/sh87003799,Ireland
Ḍaph,http://id.loc.gov/authorities/subjects/sh87003796,Frame drums,http://id.loc.gov/authorities/subjects/sh87003799,India
Par̲ai,http://id.loc.gov/authorities/subjects/sh2001002362,Frame drums,http://id.loc.gov/authorities/subjects/sh87003799,India
Ravanne,http://id.loc.gov/authorities/subjects/sh2017003856,Frame drums,http://id.loc.gov/authorities/subjects/sh87003799,Mauritius
Tar (Drum),http://id.loc.gov/authorities/subjects/sh2007000959,Frame drums,http://id.loc.gov/authorities/subjects/sh87003799,North Africa;Middle East
Yaogu,http://id.loc.gov/authorities/subjects/sh92005372,Frame drums,http://id.loc.gov/authorities/subjects/sh87003799,China
Darabukka,http://id.loc.gov/authorities/subjects/sh88003602,Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,North Africa;Middle East
Dümbelek,http://id.loc.gov/authorities/subjects/sh92005340,Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,Turkey
Fêli,http://id.loc.gov/authorities/subjects/sh2005006551,Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,Liberia
Klō̜ng ǣ,http://id.loc.gov/authorities/subjects/sh93005465,Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,Thailand
Klō̜ng lūang,http://id.loc.gov/authorities/subjects/sh2024000384,Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,Thailand
Klō̜ng yāo,http://id.loc.gov/authorities/subjects/sh93005466,Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,Thailand
Zarb,http://id.loc.gov/authorities/subjects/sh85138584,Goblet drum,http://id.loc.gov/authorities/subjects/sh87007474,Iran
Batá,http://id.loc.gov/authorities/subjects/sh98005043,Hourglass drum,http://id.loc.gov/authorities/subjects/sh85062529,Cuba
Changgo,http://id.loc.gov/authorities/subjects/sh85022517,Hourglass drum,http://id.loc.gov/authorities/subjects/sh85062529,Korea
Kotsuzumi,http://id.loc.gov/authorities/subjects/sh85073202,Hourglass drum,http://id.loc.gov/authorities/subjects/sh85062529,Japan
Talking drum,http://id.loc.gov/authorities/subjects/sh2014002574,Hourglass drum,http://id.loc.gov/authorities/subjects/sh85062529,West Africa
Surdo,http://id.loc.gov/authorities/subjects/sh2006000487,Snare drum,http://id.loc.gov/authorities/subjects/sh87003761,Brazil
Tabor,http://id.loc.gov/authorities/subjects/sh96010828,Snare drum,http://id.loc.gov/authorities/subjects/sh87003761,England
Tamboril,http://id.loc.gov/authorities/subjects/sh96010805,Snare drum,http://id.loc.gov/authorities/subjects/sh87003761,Portugal;Spain
Tambourin,http://id.loc.gov/authorities/subjects/sh85132176,Snare drum,http://id.loc.gov/authorities/subjects/sh87003761,
Tāshā,http://id.loc.gov/authorities/subjects/sh2005006573,Timpani,http://id.loc.gov/authorities/subjects/sh85135469,India;Pakistan
Khō̜ng wong,http://id.loc.gov/authorities/subjects/sh93005463,Gong,http://id.loc.gov/authorities/subjects/sh91001511,Thailand
Tam-tam,http://id.loc.gov/authorities/subjects/sh85132226,Gong,http://id.loc.gov/authorities/subjects/sh91001511,
Atcheré,http://id.loc.gov/authorities/subjects/sh98005206,Maraca,http://id.loc.gov/authorities/subjects/sh85080885,Cuba
Bass marimba,http://id.loc.gov/authorities/subjects/sh2016001841,Marimba,http://id.loc.gov/authorities/subjects/sh85081095,
Xylorimba,http://id.loc.gov/authorities/subjects/sh2003002081,Marimba,http://id.loc.gov/authorities/subjects/sh85081095,
Baby rattles,http://id.loc.gov/authorities/subjects/sh98006834,Rattle (Musical instrument),http://id.loc.gov/authorities/subjects/sh85111552,
Sistrum,http://id.loc.gov/authorities/subjects/sh85123013,Rattle (Musical instrument),http://id.loc.gov/authorities/subjects/sh85111552,Egypt
Garamut,http://id.loc.gov/authorities/subjects/sh2018000148,Slit drums,http://id.loc.gov/authorities/subjects/sh97002408,Papua New Guinea
Teponaztli,http://id.loc.gov/authorities/subjects/sh97002434,Slit drums,http://id.loc.gov/authorities/subjects/sh97002408,Mexico
Woodblock (Musical instrument),http://id.loc.gov/authorities/subjects/sh2018002927,Slit drums,http://id.loc.gov/authorities/subjects/sh97002408,
Amadinda,http://id.loc.gov/authorities/subjects/sh92003421,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,Uganda
Angklung,http://id.loc.gov/authorities/subjects/sh85005041,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,Indonesia
Balo,http://id.loc.gov/authorities/subjects/sh85011346,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,West Africa
Heliphon,http://id.loc.gov/authorities/subjects/sh2007005700,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,
Kaw law (Musical instrument),http://id.loc.gov/authorities/subjects/sh2015000992,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,Thailand
Menzan,http://id.loc.gov/authorities/subjects/sh85083735,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,Cameroon;Gabon
Sticcado pastorale,http://id.loc.gov/authorities/subjects/sh2006005085,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,England
Tingklik,http://id.loc.gov/authorities/subjects/sh94002481,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,Indonesia
Xylorimba,http://id.loc.gov/authorities/subjects/sh2003002081,Xylophone,http://id.loc.gov/authorities/subjects/sh85148860,
Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,
Diabelskie skrzypce,http://id.loc.gov/authorities/subjects/sh89002190,Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,Poland
Musical bow,http://id.loc.gov/authorities/subjects/sh99004444,Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,
Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,
Rabāb,http://id.loc.gov/authorities/subjects/sh91004170,Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,
Sympathetic strings,http://id.loc.gov/authorities/subjects/sh97003167,Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,
Zither,http://id.loc.gov/authorities/subjects/sh85149919,Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,
Ajaeng,http://id.loc.gov/authorities/subjects/sh2008001042,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Korea
Arpeggione,http://id.loc.gov/authorities/subjects/sh85007412,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Banam,http://id.loc.gov/authorities/subjects/sh2025000395,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,South Asia
Baryton,http://id.loc.gov/authorities/subjects/sh85012008,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Campanula (Musical instrument),http://id.loc.gov/authorities/subjects/sh95000392,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Cello,http://id.loc.gov/authorities/subjects/sh85143658,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Cellone,http://id.loc.gov/authorities/subjects/sh2009003660,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Crwth,http://id.loc.gov/authorities/subjects/sh85034328,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Dilrubā,http://id.loc.gov/authorities/subjects/sh2001003482,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,India;Pakistan
Double bass,http://id.loc.gov/authorities/subjects/sh85039150,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Ghichak,http://id.loc.gov/authorities/subjects/sh94000289,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Central Asia
Goge,http://id.loc.gov/authorities/subjects/sh00008578,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,West Africa
Gŭdulka,http://id.loc.gov/authorities/subjects/sh85057685,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Bulgaria
Gusle,http://id.loc.gov/authorities/subjects/sh92005165,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Balkan Peninsula
Haegŭm,http://id.loc.gov/authorities/subjects/sh85058218,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Korea
Hu qin,http://id.loc.gov/authorities/subjects/sh2001006594,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,China
Kamānche,http://id.loc.gov/authorities/subjects/sh90002262,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Middle East;Caucasus;Iran
Keyed fiddle,http://id.loc.gov/authorities/subjects/sh85072122,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Germany;Scandinavia
Lira (Short-necked fiddle),http://id.loc.gov/authorities/subjects/sh95008017,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Greece
Lira da braccio,http://id.loc.gov/authorities/subjects/sh94002440,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Lirica,http://id.loc.gov/authorities/subjects/sh92005141,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Croatia
Lirone,http://id.loc.gov/authorities/subjects/sh2002002639,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Italy
Morin huur,http://id.loc.gov/authorities/subjects/sh85087273,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Central Asia
Qobuz (Fiddle),http://id.loc.gov/authorities/subjects/sh2005005297,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Central Asia
Quadrachord,http://id.loc.gov/authorities/subjects/sh2018001822,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Salō̜,http://id.loc.gov/authorities/subjects/sh93005473,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Thailand
Sarangi,http://id.loc.gov/authorities/subjects/sh85117483,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,South Asia
Sārindā (Musical instrument),http://id.loc.gov/authorities/subjects/sh2006006845,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,South Asia;Iran;Afghanistan
Sō̜ dūang,http://id.loc.gov/authorities/subjects/sh93005474,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Thailand
Sō̜ sām sāi,http://id.loc.gov/authorities/subjects/sh93005475,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Thailand
Sō̜ ū,http://id.loc.gov/authorities/subjects/sh93005476,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,Thailand
Soundpost,http://id.loc.gov/authorities/subjects/sh2018000451,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Stradivari stringed instruments,http://id.loc.gov/authorities/subjects/sh2006007782,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Stringed instrument bows,http://id.loc.gov/authorities/subjects/sh85129123,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Tenor violin,http://id.loc.gov/authorities/subjects/sh85133918,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Trumpet marine,http://id.loc.gov/authorities/subjects/sh85119264,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Viola,http://id.loc.gov/authorities/subjects/sh85143429,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Violetta d'amore,http://id.loc.gov/authorities/subjects/sh90005376,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Violin,http://id.loc.gov/authorities/subjects/sh85143544,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Violo,http://id.loc.gov/authorities/subjects/sh85143656,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Violotta,http://id.loc.gov/authorities/subjects/sh2005002197,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Viols,http://id.loc.gov/authorities/subjects/sh85143421,Bowed stringed instruments,http://id.loc.gov/authorities/subjects/sh85129122,
Electric cello,http://id.loc.gov/authorities/subjects/sh2005006932,Cello,http://id.loc.gov/authorities/subjects/sh85143658,
Violoncello piccolo,http://id.loc.gov/authorities/subjects/sh85143683,Cello,http://id.loc.gov/authorities/subjects/sh85143658,
Stradivarius violin,http://id.loc.gov/authorities/subjects/sh2006007757,Stradivari stringed instruments,http://id.loc.gov/authorities/subjects/sh2006007782,
Viola pomposa,http://id.loc.gov/authorities/subjects/sh85143489,Viola,http://id.loc.gov/authorities/subjects/sh85143429,
Electric violin,http://id.loc.gov/authorities/subjects/sh2004009814,Violin,http://id.loc.gov/authorities/subjects/sh85143544,
Hardanger fiddle,http://id.loc.gov/authorities/subjects/sh85058871,Violin,http://id.loc.gov/authorities/subjects/sh85143544,Norway
Phonofiddle,http://id.loc.gov/authorities/subjects/sh2007001886,Violin,http://id.loc.gov/authorities/subjects/sh85143544,
Pochette (Musical instrument),http://id.loc.gov/authorities/subjects/sh2007001886,Violin,http://id.loc.gov/authorities/subjects/sh85143544,
Prepared violin,http://id.loc.gov/authorities/subjects/sh2014000960,Violin,http://id.loc.gov/authorities/subjects/sh85143544,
Rabeca,http://id.loc.gov/authorities/subjects/sh2005003618,Violin,http://id.loc.gov/authorities/subjects/sh85143544,Brazil
Pardessus de viole,http://id.loc.gov/authorities/subjects/sh92001880,Viols,http://id.loc.gov/authorities/subjects/sh85143421,
Treble viol,http://id.loc.gov/authorities/subjects/sh2005005065,Viols,http://id.loc.gov/authorities/subjects/sh85143421,
Viola d'amore,http://id.loc.gov/authorities/subjects/sh85143468,Viols,http://id.loc.gov/authorities/subjects/sh85143421,
Viola da gamba,http://id.loc.gov/authorities/subjects/sh85143457,Viols,http://id.loc.gov/authorities/subjects/sh85143421,
Violone,http://id.loc.gov/authorities/subjects/sh85143712,Viols,http://id.loc.gov/authorities/subjects/sh85143421,
Lyra viol,http://id.loc.gov/authorities/subjects/sh85079172,Viola da gamba,http://id.loc.gov/authorities/subjects/sh85143457,
Berimbau,http://id.loc.gov/authorities/subjects/sh85013324,Musical bow,http://id.loc.gov/authorities/subjects/sh99004444,Brazil
Gora (Musical instrument),http://id.loc.gov/authorities/subjects/sh85056024,Musical bow,http://id.loc.gov/authorities/subjects/sh99004444,Africa
Mouth bow,http://id.loc.gov/authorities/subjects/sh99004445,Musical bow,http://id.loc.gov/authorities/subjects/sh99004444,
Chipendani,http://id.loc.gov/authorities/subjects/sh99003391,Mouth bow,http://id.loc.gov/authorities/subjects/sh99004445,Zimbabwe
Bandora,http://id.loc.gov/authorities/subjects/sh85097401,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Banjo ukulele,http://id.loc.gov/authorities/subjects/sh2005002905,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Cittern,http://id.loc.gov/authorities/subjects/sh85026124,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Harp,http://id.loc.gov/authorities/subjects/sh85058984,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Jarana huasteca,http://id.loc.gov/authorities/subjects/sh2022006994,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,Mexico
Lute,http://id.loc.gov/authorities/subjects/sh85078975,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Lyre,http://id.loc.gov/authorities/subjects/sh85079175,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Mandolin,http://id.loc.gov/authorities/subjects/sh85080452,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Phin (Plucked instruments),http://id.loc.gov/authorities/subjects/sh2017004731,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,Thailand
Piano-harp,http://id.loc.gov/authorities/subjects/sh2007001867,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Psaltery,http://id.loc.gov/authorities/subjects/sh87001755,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Quadrachord,http://id.loc.gov/authorities/subjects/sh2018001822,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Tambi,http://id.loc.gov/authorities/subjects/sh85132170,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Vina,http://id.loc.gov/authorities/subjects/sh85143383,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,South Asia
Washtub bass,http://id.loc.gov/authorities/subjects/sh2008009814,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Zither,http://id.loc.gov/authorities/subjects/sh85149919,Plucked instruments,http://id.loc.gov/authorities/subjects/sh98007684,
Orpharion,http://id.loc.gov/authorities/subjects/sh92004632,Bandora,http://id.loc.gov/authorities/subjects/sh85097401,
English guitar,http://id.loc.gov/authorities/subjects/sh85043378,Cittern,http://id.loc.gov/authorities/subjects/sh85026124,
Acoustic bass guitar,http://id.loc.gov/authorities/subjects/sh2008002881,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Air guitar,http://id.loc.gov/authorities/subjects/sh2004006680,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Bajo sexto,http://id.loc.gov/authorities/subjects/sh2002000274,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Mexico
Cavaquinho,http://id.loc.gov/authorities/subjects/sh99003516,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Charango,http://id.loc.gov/authorities/subjects/sh86007107,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Andes region
Chitarra battente,http://id.loc.gov/authorities/subjects/sh99000455,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Italy
Cigar box guitar,http://id.loc.gov/authorities/subjects/sh2011004802,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Cuatro (Musical instrument),http://id.loc.gov/authorities/subjects/sh85034543,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Latin America
D'Angelico guitar,http://id.loc.gov/authorities/subjects/sh2009000339,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Electric guitar,http://id.loc.gov/authorities/subjects/sh86008003,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
English guitar,http://id.loc.gov/authorities/subjects/sh85043378,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Epiphone guitar,http://id.loc.gov/authorities/subjects/sh97002895,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Gibson guitar,http://id.loc.gov/authorities/subjects/sh2008020292,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Gretsch guitar,http://id.loc.gov/authorities/subjects/sh96010776,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Guitarrón,http://id.loc.gov/authorities/subjects/sh94005016,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Mexico
Harp-lute,http://id.loc.gov/authorities/subjects/sh92005568,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Harp-lute guitar,http://id.loc.gov/authorities/subjects/sh85059000,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Hawaiian guitar,http://id.loc.gov/authorities/subjects/sh85059367,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Lyre-guitar,http://id.loc.gov/authorities/subjects/sh85079177,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Martin guitar,http://id.loc.gov/authorities/subjects/sh95009238,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Maton guitar,http://id.loc.gov/authorities/subjects/sh2017000168,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
PRS guitar,http://id.loc.gov/authorities/subjects/sh2016001215,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Resonator guitar,http://id.loc.gov/authorities/subjects/sh85038690,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Stella guitar,http://id.loc.gov/authorities/subjects/sh2007003978,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Tiple (Plucked instrument),http://id.loc.gov/authorities/subjects/sh90003629,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Andes region
Tres (Musical instrument),http://id.loc.gov/authorities/subjects/sh98005177,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Caribbean area
Ukulele,http://id.loc.gov/authorities/subjects/sh85139417,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,
Viola d'arame,http://id.loc.gov/authorities/subjects/sh92005169,Guitar,http://id.loc.gov/authorities/subjects/sh85057803,Portugal
