LCSH-label,LCSH-label-type,LCSH-URI
Bull-roarer,prefLabel,http://id.loc.gov/authorities/subjects/sh97006054
Bullroarer,altLabel,http://id.loc.gov/authorities/subjects/sh97006054
Electronic musical instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh85089002
Electronic instruments (Music),altLabel,http://id.loc.gov/authorities/subjects/sh85089002
Electrophonic musical instruments,altLabel,http://id.loc.gov/authorities/subjects/sh85089002
Free reed instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh2002002646
Glass as a musical instrument,prefLabel,http://id.loc.gov/authorities/subjects/sh2002007240
Glass harmonica,prefLabel,http://id.loc.gov/authorities/subjects/sh85055151
Armonica,altLabel,http://id.loc.gov/authorities/subjects/sh85055151
"Glasses, Musical",altLabel,http://id.loc.gov/authorities/subjects/sh85055151
"Harmonica, Glass",altLabel,http://id.loc.gov/authorities/subjects/sh85055151
Musical glasses,altLabel,http://id.loc.gov/authorities/subjects/sh85055151
Hurdy-gurdy,prefLabel,http://id.loc.gov/authorities/subjects/sh85063168
Jew's harp,prefLabel,http://id.loc.gov/authorities/subjects/sh85070508
Genggong,altLabel,http://id.loc.gov/authorities/subjects/sh85070508
Jaw harp,altLabel,http://id.loc.gov/authorities/subjects/sh85070508
Jaw's-harp,altLabel,http://id.loc.gov/authorities/subjects/sh85070508
Khomus,altLabel,http://id.loc.gov/authorities/subjects/sh85070508
Trump,altLabel,http://id.loc.gov/authorities/subjects/sh85070508
Keyboard instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh85072117
"Instruments, Keyboard",altLabel,http://id.loc.gov/authorities/subjects/sh85072117
Keyboard stringed instruments,altLabel,http://id.loc.gov/authorities/subjects/sh85072117
String keyboard instruments,altLabel,http://id.loc.gov/authorities/subjects/sh85072117
Stringed keyboard instruments,altLabel,http://id.loc.gov/authorities/subjects/sh85072117
Liquimofono,prefLabel,http://id.loc.gov/authorities/subjects/sh85077412
Mechanical musical instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh85089003
Automatic instruments (Music),altLabel,http://id.loc.gov/authorities/subjects/sh85089003
Automatic musical instruments,altLabel,http://id.loc.gov/authorities/subjects/sh85089003
Automatophones,altLabel,http://id.loc.gov/authorities/subjects/sh85089003
Mechanical instruments (Music),altLabel,http://id.loc.gov/authorities/subjects/sh85089003
Musical instruments (Mechanical),altLabel,http://id.loc.gov/authorities/subjects/sh85089003
Musical saw,prefLabel,http://id.loc.gov/authorities/subjects/sh85089021
Percussion instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh85099761
"Instruments, Percussion",altLabel,http://id.loc.gov/authorities/subjects/sh85099761
Keyboard percussion instruments,altLabel,http://id.loc.gov/authorities/subjects/sh85099761
Mallet instruments,altLabel,http://id.loc.gov/authorities/subjects/sh85099761
Mallet percussion,altLabel,http://id.loc.gov/authorities/subjects/sh85099761
Mallet percussions,altLabel,http://id.loc.gov/authorities/subjects/sh85099761
Metallophones,altLabel,http://id.loc.gov/authorities/subjects/sh85099761
