LCSH-label,LCSH-label-type,LCSH-URI
Percussion (Musical instruments),altLabel,http://id.loc.gov/authorities/subjects/sh85099761
Pitchpipe,prefLabel,http://id.loc.gov/authorities/subjects/sh85102498
Pitch-pipe,altLabel,http://id.loc.gov/authorities/subjects/sh85102498
Reeds (Music),prefLabel,http://id.loc.gov/authorities/subjects/sh85112170
Stringed instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh85129118
Toy instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh2007000968
Musical toy instruments,altLabel,http://id.loc.gov/authorities/subjects/sh2007000968
Toy musical instruments,altLabel,http://id.loc.gov/authorities/subjects/sh2007000968
Verrophone,prefLabel,http://id.loc.gov/authorities/subjects/sh2007000968
"Glasses, Musical",altLabel,http://id.loc.gov/authorities/subjects/sh2007000968
Musical glasses,altLabel,http://id.loc.gov/authorities/subjects/sh2007000968
Verrophon,altLabel,http://id.loc.gov/authorities/subjects/sh2007000968
Wind instruments,prefLabel,http://id.loc.gov/authorities/subjects/sh85146863
"Instruments, Wind",altLabel,http://id.loc.gov/authorities/subjects/sh85146863
Winds (Musical instruments),altLabel,http://id.loc.gov/authorities/subjects/sh85146863
Wind machine (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh93001623
Aeoliphone,altLabel,http://id.loc.gov/authorities/subjects/sh93001623
Amplified palette (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh2017003538
Drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh91000627
Electronic drum,altLabel,http://id.loc.gov/authorities/subjects/sh91000627
Electronic percussion,altLabel,http://id.loc.gov/authorities/subjects/sh91000627
Electronic percussion instruments,altLabel,http://id.loc.gov/authorities/subjects/sh91000627
Preset rhythm machine,altLabel,http://id.loc.gov/authorities/subjects/sh91000627
Rhythm machine,altLabel,http://id.loc.gov/authorities/subjects/sh91000627
Sampling drum machine,altLabel,http://id.loc.gov/authorities/subjects/sh91000627
Electric cello,prefLabel,http://id.loc.gov/authorities/subjects/sh2005006932
Electric guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh86008003
E-guitar,altLabel,http://id.loc.gov/authorities/subjects/sh86008003
"Guitar, Electric",altLabel,http://id.loc.gov/authorities/subjects/sh86008003
Electric acoustic guitar,altLabel,http://id.loc.gov/authorities/subjects/sh86008003
Electro-acoustic guitar,altLabel,http://id.loc.gov/authorities/subjects/sh86008003
Electroacoustic guitar,altLabel,http://id.loc.gov/authorities/subjects/sh86008003
Electric violin,prefLabel,http://id.loc.gov/authorities/subjects/sh2004009814
Electronic harpsichord,prefLabel,http://id.loc.gov/authorities/subjects/sh85042335
Electronic organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85042356
Electronic piano,prefLabel,http://id.loc.gov/authorities/subjects/sh85042367
Electronium,prefLabel,http://id.loc.gov/authorities/subjects/sh85042420
Encephalophone,prefLabel,http://id.loc.gov/authorities/subjects/sh2020000653
Heliphon,prefLabel,http://id.loc.gov/authorities/subjects/sh2007005700
Mellotron,prefLabel,http://id.loc.gov/authorities/subjects/sh2002010485
Novatron,altLabel,http://id.loc.gov/authorities/subjects/sh2002010485
MIDI controllers,prefLabel,http://id.loc.gov/authorities/subjects/sh93006387
Mouseketier (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh2011000395
Ondes Martenot,prefLabel,http://id.loc.gov/authorities/subjects/sh85094731
Martenot (Musical instrument),altLabel,http://id.loc.gov/authorities/subjects/sh85094731
Martenot's ondes musicales,altLabel,http://id.loc.gov/authorities/subjects/sh85094731
Ondes musicales,altLabel,http://id.loc.gov/authorities/subjects/sh85094731
Ondium Martenot,altLabel,http://id.loc.gov/authorities/subjects/sh85094731
Piano-harp,prefLabel,http://id.loc.gov/authorities/subjects/sh2007001867
Pianocorder,prefLabel,http://id.loc.gov/authorities/subjects/sh92000810
Sampler (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh96011393
Sequencer (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh90005022
Synthesizer (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh85131654
Telharmonium,prefLabel,http://id.loc.gov/authorities/subjects/sh94007167
Theremin,prefLabel,http://id.loc.gov/authorities/subjects/sh89006582
Aetherphon,altLabel,http://id.loc.gov/authorities/subjects/sh89006582
Termenvoks,altLabel,http://id.loc.gov/authorities/subjects/sh89006582
Thereminvox,altLabel,http://id.loc.gov/authorities/subjects/sh89006582
Trautonium,prefLabel,http://id.loc.gov/authorities/subjects/sh85137146
Alesis HR-16 drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004066
Alesis MMT-8 drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004067
Korg DDD-1 drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004073
Korg DDD-5 drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004074
Roland drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004077
Yamaha RX-11 drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004086
Yamaha RX-15 drum machine,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004087
Bass guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh85012161
"Bass, Electric",altLabel,http://id.loc.gov/authorities/subjects/sh85012161
Bass (Electric guitar),altLabel,http://id.loc.gov/authorities/subjects/sh85012161
Electric bass,altLabel,http://id.loc.gov/authorities/subjects/sh85012161
Electric bass guitar,altLabel,http://id.loc.gov/authorities/subjects/sh85012161
Fender guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh93007714
Gibson ES-175 guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh2008020290
175 guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008020290
ES-175 guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008020290
Gibson 175 guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008020290
Gibson Electric Spanish 175 guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008020290
Gibson Les Paul standard guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh2008009864
Gibson goldtop guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008009864
Les Paul cherry sunburst guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008009864
Les Paul standard guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008009864
Les Paul sunburst guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008009864
Sunburst Gibson Les Paul guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2008009864
Gibson Moderne guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh2011001101
Moderne guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2011001101
Gretsch 6120 guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh2011001276
6120 guitar,altLabel,http://id.loc.gov/authorities/subjects/sh2011001276
Gretsch guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh96010776
Hamer guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh2014001606
Rickenbacker guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh95001754
Stratocaster,prefLabel,http://id.loc.gov/authorities/subjects/sh95001754
Fender Stratocaster,altLabel,http://id.loc.gov/authorities/subjects/sh95001754
Telecaster guitar,prefLabel,http://id.loc.gov/authorities/subjects/sh93007713
Broadcaster guitar,altLabel,http://id.loc.gov/authorities/subjects/sh93007713
Fender Broadcaster guitar,altLabel,http://id.loc.gov/authorities/subjects/sh93007713
Fender Telecaster guitar,altLabel,http://id.loc.gov/authorities/subjects/sh93007713
Telecaster (Electric guitar),altLabel,http://id.loc.gov/authorities/subjects/sh93007713
Allen organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85003651
Atelier organ,prefLabel,http://id.loc.gov/authorities/subjects/sh00005200
Baldwin organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85011162
Conn organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2004003812
Gulbransen organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2005005173
Hammond organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85058585
Kimball organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85072346
Lichtton-Orgel,prefLabel,http://id.loc.gov/authorities/subjects/sh85146092
Lowrey organ,prefLabel,http://id.loc.gov/authorities/subjects/sh00003180
Minshall-Estey organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85085872
Silvertone organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85122664
Technics organ,prefLabel,http://id.loc.gov/authorities/subjects/sh98007675
Thomas organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2004003816
Wurlitzer organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85148682
Yamaha organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2006000866
Fender Rhodes piano,prefLabel,http://id.loc.gov/authorities/subjects/sh00003201
Guitar controller (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh2017002937
Keyboard controller (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh93007491
Percussion controller (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh93007495
Wind controller (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh93006385
Mallet controller (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh93007493
Yamaha WX7 wind controller,prefLabel,http://id.loc.gov/authorities/subjects/sh2004003835
Casio FZ-10M synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004071
Electronic keyboard (Synthesizer),prefLabel,http://id.loc.gov/authorities/subjects/sh87003472
Modular synthesizer (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh2024000244
Moog synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004076
Software synthesizers,prefLabel,http://id.loc.gov/authorities/subjects/sh2006002928
Yamaha synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004080
Mouth organs,prefLabel,http://id.loc.gov/authorities/subjects/sh85088008
Reed organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85112159
Harmonica,prefLabel,http://id.loc.gov/authorities/subjects/sh85058948
Kaen,prefLabel,http://id.loc.gov/authorities/subjects/sh85071251
Lu sheng,prefLabel,http://id.loc.gov/authorities/subjects/sh94000323
Plung,prefLabel,http://id.loc.gov/authorities/subjects/sh99011236
Sheng (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh85121342
Shō,prefLabel,http://id.loc.gov/authorities/subjects/sh85121698
Melodica,prefLabel,http://id.loc.gov/authorities/subjects/sh85083435
Scaletta,altLabel,http://id.loc.gov/authorities/subjects/sh85083435
Accordion,prefLabel,http://id.loc.gov/authorities/subjects/sh85000385
Bichromatic harmonium,prefLabel,http://id.loc.gov/authorities/subjects/sh85013883
Concertina,prefLabel,http://id.loc.gov/authorities/subjects/sh85029639
Estey reed organ,prefLabel,http://id.loc.gov/authorities/subjects/sh96012146
Button-key accordion,prefLabel,http://id.loc.gov/authorities/subjects/sh85018395
Bandoneon,prefLabel,http://id.loc.gov/authorities/subjects/sh85011492
Celesta,prefLabel,http://id.loc.gov/authorities/subjects/sh85021624
Clavi-harp,prefLabel,http://id.loc.gov/authorities/subjects/sh85026841
Clavichord,prefLabel,http://id.loc.gov/authorities/subjects/sh85026847
Cristal,prefLabel,http://id.loc.gov/authorities/subjects/sh92004693
Dolceola,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004316
Dulcitone,prefLabel,http://id.loc.gov/authorities/subjects/sh2005006962
Electronic keyboard (Synthesizer),prefLabel,http://id.loc.gov/authorities/subjects/sh87003472
Harmonichord,prefLabel,http://id.loc.gov/authorities/subjects/sh2019003699
Harpsichord,prefLabel,http://id.loc.gov/authorities/subjects/sh85059045
Cembalo,altLabel,http://id.loc.gov/authorities/subjects/sh85059045
Spinet (Harpsichord),altLabel,http://id.loc.gov/authorities/subjects/sh85059045
Virginal,altLabel,http://id.loc.gov/authorities/subjects/sh85059045
Lute-harpsichord,prefLabel,http://id.loc.gov/authorities/subjects/sh2013000953
Mellotron,prefLabel,http://id.loc.gov/authorities/subjects/sh2002010485
Organ (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh85095454
Enharmonic organ,altLabel,http://id.loc.gov/authorities/subjects/sh85095454
Organ,altLabel,http://id.loc.gov/authorities/subjects/sh85095454
Organs,altLabel,http://id.loc.gov/authorities/subjects/sh85095454
Pipe organ,altLabel,http://id.loc.gov/authorities/subjects/sh85095454
Orphéal,prefLabel,http://id.loc.gov/authorities/subjects/sh2003002964
Piano,prefLabel,http://id.loc.gov/authorities/subjects/sh85101722
Concert grand (Piano),altLabel,http://id.loc.gov/authorities/subjects/sh85101722
Fortepiano,altLabel,http://id.loc.gov/authorities/subjects/sh85101722
Grand piano,altLabel,http://id.loc.gov/authorities/subjects/sh85101722
Pianoforte,altLabel,http://id.loc.gov/authorities/subjects/sh85101722
Spinet (Piano),altLabel,http://id.loc.gov/authorities/subjects/sh85101722
Spinnet (Piano),altLabel,http://id.loc.gov/authorities/subjects/sh85101722
Upright piano,altLabel,http://id.loc.gov/authorities/subjects/sh85101722
Tangent piano,prefLabel,http://id.loc.gov/authorities/subjects/sh2003002969
Toy piano,prefLabel,http://id.loc.gov/authorities/subjects/sh2001006041
Viola organista,prefLabel,http://id.loc.gov/authorities/subjects/sh2024001253
Geigenwerk,altLabel,http://id.loc.gov/authorities/subjects/sh2024001253
Cembal d'amour,prefLabel,http://id.loc.gov/authorities/subjects/sh2003002967
Pedal clavichord,prefLabel,http://id.loc.gov/authorities/subjects/sh2002002633
Casio CZ synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004068
Casio CZ-101 synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004069
Casio FZ-1 synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004070
Clavioline,prefLabel,http://id.loc.gov/authorities/subjects/sh85026857
Korg 01/W keyboard synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004072
Korg M1 synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004075
Novachord,prefLabel,http://id.loc.gov/authorities/subjects/sh00000861
Solovox,prefLabel,http://id.loc.gov/authorities/subjects/sh85124722
Synket synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2016002729
Technics PR digital ensemble,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004078
Yamaha DX7 synthesizer,prefLabel,http://id.loc.gov/authorities/subjects/sh2002004079
Archicembalo,prefLabel,http://id.loc.gov/authorities/subjects/sh85006543
Clavicytherium,prefLabel,http://id.loc.gov/authorities/subjects/sh90004128
Cembalo verticale,altLabel,http://id.loc.gov/authorities/subjects/sh90004128
Clavecin vertical,altLabel,http://id.loc.gov/authorities/subjects/sh90004128
Klaviziterium,altLabel,http://id.loc.gov/authorities/subjects/sh90004128
Klavizitherium,altLabel,http://id.loc.gov/authorities/subjects/sh90004128
Claviorganum,prefLabel,http://id.loc.gov/authorities/subjects/sh85026859
Electronic harpsichord,prefLabel,http://id.loc.gov/authorities/subjects/sh85042335
Harpsichord strings,prefLabel,http://id.loc.gov/authorities/subjects/sh93007641
Pedal harpsichord,prefLabel,http://id.loc.gov/authorities/subjects/sh2004002306
Pedalcembalo,altLabel,http://id.loc.gov/authorities/subjects/sh2004002306
Sambuca lincea,prefLabel,http://id.loc.gov/authorities/subjects/sh85117015
Pentacontachordon,altLabel,http://id.loc.gov/authorities/subjects/sh85117015
Archiphone,prefLabel,http://id.loc.gov/authorities/subjects/sh85006559
Bambuso sonoro (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh92004468
Chamadron,prefLabel,http://id.loc.gov/authorities/subjects/sh2003002122
Chamber organ,prefLabel,http://id.loc.gov/authorities/subjects/sh92003320
Cabinet organ,altLabel,http://id.loc.gov/authorities/subjects/sh92003320
Claviorganum,prefLabel,http://id.loc.gov/authorities/subjects/sh85026859
Electronic organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85042356
Hydraulic organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85063330
Hydraulis,altLabel,http://id.loc.gov/authorities/subjects/sh85063330
Hydraulos,altLabel,http://id.loc.gov/authorities/subjects/sh85063330
Hydraulus,altLabel,http://id.loc.gov/authorities/subjects/sh85063330
Water organ,altLabel,http://id.loc.gov/authorities/subjects/sh85063330
Mechanical organs,prefLabel,http://id.loc.gov/authorities/subjects/sh86004922
Automatic organs,altLabel,http://id.loc.gov/authorities/subjects/sh86004922
Organ pipes,prefLabel,http://id.loc.gov/authorities/subjects/sh85095481
Organ stops,prefLabel,http://id.loc.gov/authorities/subjects/sh85095483
Positive organ (Musical instrument),prefLabel,http://id.loc.gov/authorities/subjects/sh89007093
Positive (Musical instrument),altLabel,http://id.loc.gov/authorities/subjects/sh89007093
Table organ,altLabel,http://id.loc.gov/authorities/subjects/sh89007093
Pyrophone,prefLabel,http://id.loc.gov/authorities/subjects/sh85109354
Chemical harmonica,altLabel,http://id.loc.gov/authorities/subjects/sh85109354
Explosion calliope,altLabel,http://id.loc.gov/authorities/subjects/sh85109354
Explosion organ,altLabel,http://id.loc.gov/authorities/subjects/sh85109354
Fire calliope,altLabel,http://id.loc.gov/authorities/subjects/sh85109354
Fire organ,altLabel,http://id.loc.gov/authorities/subjects/sh85109354
Flame organ,altLabel,http://id.loc.gov/authorities/subjects/sh85109354
"Harmonica, Chemical",altLabel,http://id.loc.gov/authorities/subjects/sh85109354
Reed organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85112159
Cabinet organ,altLabel,http://id.loc.gov/authorities/subjects/sh85112159
Harmonium,altLabel,http://id.loc.gov/authorities/subjects/sh85112159
Melodeon (Reed organ),altLabel,http://id.loc.gov/authorities/subjects/sh85112159
Parlor organ,altLabel,http://id.loc.gov/authorities/subjects/sh85112159
Vocalion,altLabel,http://id.loc.gov/authorities/subjects/sh85112159
Theater organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2002002631
Cinema organ,altLabel,http://id.loc.gov/authorities/subjects/sh2002002631
Theatre organ,altLabel,http://id.loc.gov/authorities/subjects/sh2002002631
Allen organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85003651
Atelier organ,prefLabel,http://id.loc.gov/authorities/subjects/sh00005200
Baldwin organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85011162
Conn organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2004003812
Gulbransen organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2005005173
Hammond organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85058585
Kimball organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85072346
Lichtton-Orgel,prefLabel,http://id.loc.gov/authorities/subjects/sh85146092
Lichtton electronic organ,altLabel,http://id.loc.gov/authorities/subjects/sh85146092
Lichtton organ,altLabel,http://id.loc.gov/authorities/subjects/sh85146092
Photophone,altLabel,http://id.loc.gov/authorities/subjects/sh85146092
Phototone,altLabel,http://id.loc.gov/authorities/subjects/sh85146092
Welte-Lichtton-Orgel,altLabel,http://id.loc.gov/authorities/subjects/sh85146092
Lowrey organ,prefLabel,http://id.loc.gov/authorities/subjects/sh00003180
Minshall-Estey organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85085872
Silvertone organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85122664
Technics organ,prefLabel,http://id.loc.gov/authorities/subjects/sh98007675
Thomas organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2004003816
Wurlitzer organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85148682
Yamaha organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2006000866
Electone,altLabel,http://id.loc.gov/authorities/subjects/sh2006000866
Yamaha Electone,altLabel,http://id.loc.gov/authorities/subjects/sh2006000866
Yamaha electronic organ,altLabel,http://id.loc.gov/authorities/subjects/sh2006000866
Hammond B-3 organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2006007700
Hydraulic barrel organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85011934
Band organ,prefLabel,http://id.loc.gov/authorities/subjects/sh86004921
Fair organ,altLabel,http://id.loc.gov/authorities/subjects/sh86004921
Fairground organ,altLabel,http://id.loc.gov/authorities/subjects/sh86004921
Showground organ,altLabel,http://id.loc.gov/authorities/subjects/sh86004921
Barrel organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85011933
Dutch organ,altLabel,http://id.loc.gov/authorities/subjects/sh85011933
Grinder organ,altLabel,http://id.loc.gov/authorities/subjects/sh85011933
Hand organ,altLabel,http://id.loc.gov/authorities/subjects/sh85011933
Street organ,altLabel,http://id.loc.gov/authorities/subjects/sh85011933
Calliope,prefLabel,http://id.loc.gov/authorities/subjects/sh85018991
Musical clock,prefLabel,http://id.loc.gov/authorities/subjects/sh86004919
"Clock, Musical",altLabel,http://id.loc.gov/authorities/subjects/sh86004919
Clock-organ,altLabel,http://id.loc.gov/authorities/subjects/sh86004919
Flute clock,altLabel,http://id.loc.gov/authorities/subjects/sh86004919
Flute-playing clock,altLabel,http://id.loc.gov/authorities/subjects/sh86004919
Mechanical clock-organ,altLabel,http://id.loc.gov/authorities/subjects/sh86004919
Player organ,prefLabel,http://id.loc.gov/authorities/subjects/sh85103380
Aeolian Duo-Art player organ,prefLabel,http://id.loc.gov/authorities/subjects/sh2002002614
Organette,prefLabel,http://id.loc.gov/authorities/subjects/sh85095518
Organina,altLabel,http://id.loc.gov/authorities/subjects/sh85095518
Welte-Philharmonie player organ,prefLabel,http://id.loc.gov/authorities/subjects/sh99004294
Barrel piano,prefLabel,http://id.loc.gov/authorities/subjects/sh97003394
Cylinder piano,altLabel,http://id.loc.gov/authorities/subjects/sh97003394
Pianette,altLabel,http://id.loc.gov/authorities/subjects/sh97003394
Piano organ,altLabel,http://id.loc.gov/authorities/subjects/sh97003394
Street piano,altLabel,http://id.loc.gov/authorities/subjects/sh97003394
Player piano,prefLabel,http://id.loc.gov/authorities/subjects/sh85103383
Piano-player,altLabel,http://id.loc.gov/authorities/subjects/sh85103383
Reproducing piano,altLabel,http://id.loc.gov/authorities/subjects/sh85103383
Ampico reproducing piano,prefLabel,http://id.loc.gov/authorities/subjects/sh88007292
Artrio-Angelus reproducing piano,prefLabel,http://id.loc.gov/authorities/subjects/sh98003355
Digital player piano,prefLabel,http://id.loc.gov/authorities/subjects/sh2009002538
Duo-Art reproducing piano,prefLabel,http://id.loc.gov/authorities/subjects/sh97005678
Manualo,prefLabel,http://id.loc.gov/authorities/subjects/sh85080655
Pianola,prefLabel,http://id.loc.gov/authorities/subjects/sh85101881
Welte-Mignon reproducing piano,prefLabel,http://id.loc.gov/authorities/subjects/sh99004293
Mechanical singing-bird boxes,prefLabel,http://id.loc.gov/authorities/subjects/sh00009803
Mechanical singing-bird tabatières,altLabel,http://id.loc.gov/authorities/subjects/sh00009803
"Singing-bird boxes, Mechanical",altLabel,http://id.loc.gov/authorities/subjects/sh00009803
"Tabatières, Mechanical singing-bird",altLabel,http://id.loc.gov/authorities/subjects/sh00009803
Accordion,prefLabel,http://id.loc.gov/authorities/subjects/sh85000385
Accordeon,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Buzika,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Garmonica,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Garmonik,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Garmonya,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Garmoshka,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Garmon,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Piano accordion,altLabel,http://id.loc.gov/authorities/subjects/sh85000385
Bichromatic harmonium,prefLabel,http://id.loc.gov/authorities/subjects/sh85013883
Concertina,prefLabel,http://id.loc.gov/authorities/subjects/sh85029639
Estey reed organ,prefLabel,http://id.loc.gov/authorities/subjects/sh96012146
Button-key accordion,prefLabel,http://id.loc.gov/authorities/subjects/sh85018395
Button accordion,altLabel,http://id.loc.gov/authorities/subjects/sh85018395
Button box (Accordion),altLabel,http://id.loc.gov/authorities/subjects/sh85018395
Button-key accordions,altLabel,http://id.loc.gov/authorities/subjects/sh85018395
Squeezebox,altLabel,http://id.loc.gov/authorities/subjects/sh85018395
Bandoneon,prefLabel,http://id.loc.gov/authorities/subjects/sh85011492
Bandonion,altLabel,http://id.loc.gov/authorities/subjects/sh85011492
Bayan,prefLabel,http://id.loc.gov/authorities/subjects/sh85012503
Bajan (Musical instrument),altLabel,http://id.loc.gov/authorities/subjects/sh85012503
Lõõtspill,prefLabel,http://id.loc.gov/authorities/subjects/sh2001002351
Melodeon (Button-key accordion),prefLabel,http://id.loc.gov/authorities/subjects/sh85083433
