Leisiö-id	class	taso1	taso2	taso3	H-S	soitin	finna: äänite/esine	seko	notes	seko:hierarkia	skos:definition	soitin	mh-definition	Luokka	alaluokka	ryhmä	tyyppi
L034	A.3.1.2.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut; yksisärmäiset, umpinaiset, osiorunkoiset		umpinainen mäntyhuilu		#N/A									
L035	A.3.1.2.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut; yksisärmäiset, umpinaiset, osiorunkoiset		sivupuhalteinen liukuhuilu		http://urn.fi/urn:nbn:fi:au:seko:00608	> liukuhuilu	huilusoitin > tulppakanavahuilu > liukuhuilu	Suomalainen, kansanomainen, pajunkuoresta tehty puhallinsoitin.	Sivupuhalteinen liukuhuilu	Sivupuhalteinen liukuhuilu (pajupilli) on pajun kuoriputkesta valmistettu soitin, jolla musisoidaan liikuttelemalla putken alapäässä olevaa tulppaa edestakaisin. Noin 25 cm pitkästä huilusta on rakennettu sekä päästä soitettavia, että pitkähuiluperiaatteella toimivia, sivupuhalteisia malleja.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: osiorunkoiset
L036	A.3.1.2.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut; yksisärmäiset, umpinaiset, kiinteärunkoiset		sivupuhalteinen pajupilli		#N/A				Sivupuhalteinen pajupilli	Sivupuhalteinen pajupilli (pajupilli) on 10-15 cm pitkä pajupilli, jonka tulppa on vuoltu  kiinteästi pillin runkoon. Huilun äänionteloa on pidennetty noin 3 cm puhalluspään suuntaan. Se jatkuu onteloa puolet matalampana, ensin ilmakanavana ja  lopulta puhallusaukkona. Irtonainen kuoriputki, johon on viilletty särmä- ja puhallusaukko, on yhtenäinen sentin verran onteloidun puun molemmille puolille. Sivupuhalteinen pajupilli, pajupillin ja pitkähuilun yhdistelmä, lienee puhtaasti kotimainen keksintö.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut	
L037	A.3.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut; kaksisärmäiset		pajupiipari		#N/A				Pajupiipari	Pajupiipari (pajupilli, kolmireikäinen pajupilli) on pajupillin muunnos, jossa on puhallusaukko kahden puolipyöreän särmäaukon välissä. Kuoren alla, keskellä pillin 20 cm pitkää runkoa, on kovera syvennys, jonka kummallakin puolella on varsinaiset ääniontelot.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: kiinteärunkoiset
L038	B.1.	Huilut	Kartiomaiset tulppakanavahuilut			koverrettu puuhuilu		#N/A				Koverrettu puuhuilu	Koverrettu puuhuilu on halkaisutekniikalla valmistettu kartiomainen puuhuilu, jonka saumakohtiin on liimattu kaksi pitkää tuohisiisnaa. Huiluun on veistetty neljä sormiaukkoa, ja rungon ympärille on kierretty narua tai tuohta.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L039	C.1.	Huilut	Astiamaiset tulppakanavahuilut	Siirtotulppaiset astiahuilut		kämmenpilli		#N/A				Kämmenpilli	Kämmenpilli (mm. vislaus, kouruun puhaltaminen, kämmensoitto, peukalopeli) on huilusoitin, joka syntyy käsillä muodostetusta kämmenkourusta. Toinen etusormi asettuu poikittain vierekkäin asetettujen peukaloiden taakse ilmapatsaan jakavaksi särmäksi. Kouruun puhalletaan peukaloiden välistä.	Huilut	C. Astiamaiset tulppakanavahuilut	Siirtotulppaiset astiahuilut	
L040	C.2.1.1.	Huilut	Astiamaiset tulppakanavahuilut	Kiinteätulppaiset astiahuilut;Lintumaiset savihuilut, yläsärmäiset		korkea yläsärmäinen savikukko		#N/A				Korkea yläsärmäinen savikukko	Korkea yläsärmäinen savikukko on huilu, jonka korkeus on pituutta suu rempi. Jalustallisiin savikukkoihin on puhkaistu sormiaukko kummallekin sivulle.	Huilut	C. Astiamaiset tulppakanavahuilut	C.2. Kiinteätulppaiset astiahuilut	
L041	C.2.1.1.	Huilut	Astiamaiset tulppakanavahuilut	Kiinteätulppaiset astiahuilut;Lintumaiset savihuilut, yläsärmäiset		matala yläsärmäinen savikukko		#N/A				Matala yläsärmäinen savikukko	Matala yläsärmäinen savikukko on huilu, jonka pituus on korkeutta suurempi. Soittimen puhallusaukko on linnun pyrstössä ja ilma purkautuu ulos linnun selässä olevan aukon kautta. 	Huilut	C. Astiamaiset tulppakanavahuilut	C.2. Kiinteätulppaiset astiahuilut	
L042	C.2.1.1.	Huilut	Astiamaiset tulppakanavahuilut	Kiinteätulppaiset astiahuilut;Lintumaiset savihuilut, yläsärmäiset		vaihtelevan korkuinen savikukko		#N/A				Savikukko	Savikukko on yläsärmäinen savihuilu, jonka pituus ja korkeus ovat vaihdelleet.	Huilut	C. Astiamaiset tulppakanavahuilut	C.2. Kiinteätulppaiset astiahuilut	
L043	C.2.1.2.	Huilut	Astiamaiset tulppakanavahuilut	Kiinteätulppaiset astiahuilut;Lintumaiset savihuilut, alasärmäiset		korkea kukkopilli		http://urn.fi/urn:nbn:fi:au:seko:00719	> okariina	huilusoitin > tulppakanavahuilu > okariina	Useimmiten savesta valmistettu astiahuilu. Suomessa soitin on perinteisesti tehty kukon näköiseksi, mistä nimitys "kukkopilli".	Korkea kukkopilli	Korkea kukkopilli on alasärmäinen savihuilu, jonka korkeus on pituutta suurempi. Lajille tyypillisiä piirteitä ovat jalallisuus, huolellisesti muotoiltu harja ja heltta sekä pistekoristelu. 	Huilut	C. Astiamaiset tulppakanavahuilut	C.2. Kiinteätulppaiset astiahuilut	
L044	C.2.1.2.	Huilut	Astiamaiset tulppakanavahuilut	Kiinteätulppaiset astiahuilut;Lintumaiset savihuilut, alasärmäiset		matala kukkopilli		http://urn.fi/urn:nbn:fi:au:seko:00719	> okariina	huilusoitin > tulppakanavahuilu > okariina	Useimmiten savesta valmistettu astiahuilu. Suomessa soitin on perinteisesti tehty kukon näköiseksi, mistä nimitys "kukkopilli".	Matala kukkopilli	Matala kukkopilli on alasärmäinen savihuilu, jonka pituus on korkeutta suurempi. Lajille tunnusomaisia piirteitä ovat yksinkertaisuus ja viimeistelemättömyys. Huilusta on löydetty sormiaukottomia ja 2-aukkoisia malleja.	Huilut	C. Astiamaiset tulppakanavahuilut	C.2. Kiinteätulppaiset astiahuilut	
L045	C.2.2.	Huilut	Astiamaiset tulppakanavahuilut	Kiinteätulppaiset astiahuilut; Nukkemaiset savihuilut		nukkemainen savihuilu		#N/A				Nukkemainen savihuilu	Nukkemainen savihuilu on rakenteeltaan astia- tai lieriöhuilu, joka kuvaa nisäkästä. puhalluspilli tai imuke on sijoitettu yleensä tonttua tai tyttöä esittävän hahmon taakse. Lajin varianteissa ei ole ollut sormiaukkoja.	Huilut	C. Astiamaiset tulppakanavahuilut	C.2. Kiinteätulppaiset astiahuilut	
L046	D.1.	Huilut	Reunahuilut	Umpinaiset reunahuilut		vihellysputki		#N/A				Vihellysputki	Vihellysputki (mm. vihellys, putki, putkipilli, huilu) on alapäästään umpinainen reunahuilu. Huilun puhalluspää on suora tai vastakkaisista suunnista vinoksi leikattu. 10-40 cm pituisia vihellysputkia on valmistettu koiranputken ohella männystä, lepästä ja luusta. Soittimeen on toisinaan tehty 1-4 sormiaukkoa. Vihellysputkina on käytetty myös onttoputkisia avaimia ja luodin hylsyjä.	Huilut	D. Reunahuilut		
L047	D.2.	Huilut	Reunahuilut	 Liukuhuilut		liukuva reunahuilu		#N/A				Liukuva reunahuilu	Liukuva reunahuilu muodostuu kahdesta sisäkkäin työnnetystä putkesta,  jotka voivat olla esimerkiksi luuta, koiranputkea tai ruokoa. Alaosan yläpäästään umpinainen, liikuteltava tulppa voi myös olla puuta. Isomman yläputken sopiva halkaisija on 1,5-3 cm. Sen puhalluspään muoto on suora tai soittamisen helpottamiseksi harjamaiseksi leikattu. (erittäin harvinainen, Jyväskylän seudulla)	Huilut	D. Reunahuilut		
L048	D.3.	Huilut	Reunahuilut	Astiahuilut		raakku		#N/A				Raakku	Raakku on simpukankuoresta tehty reunahuilu	Huilut	D. Reunahuilut		
L049	2:A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	sormiaukoton soropilli		http://urn.fi/urn:nbn:fi:au:seko:00975	sorapilli, olkipillli, ruokopilli	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > soropilli	Karjalainen ruo'osta tai oljesta valmistettu kansanomainen puhallinsoitin.	Soropilli	Soropilli (mm. olki-, sora-, korsi-, ruokopilli ja kaza) on 5-50 cm pitkä klarinettisoitin, joka 2-3 cm mittainen lehdykkä on viilletty putkikasvin solmukohdan viereen. 	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L050	2:A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	jatkossoropilli						Jatkossoropilli	Jatkossoropilli (putkipilli) on klarinettityyppinen soitin, joka valmistetaan kahdesta sisäkkäin työnnetystä putkikasvin varresta. Oletettavasti sormiaukottoman soittimen pituus on yleensä noin  10-50 cm.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	
L051	2:A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	soropillisarja		#N/A				Soropillisarja	Soropillisarja on klarinettisoitin, joka voidaan rakentaa mm. oljesta, ruo’osta ja putkikasvin varresta. Yksittäisen pillin alapää on avoin ja umpinaiseen puhalluspäähän on vuoltu värähtelevä lehdykkä. Soitin koostuu muutamasta sormiaukottomasta pillistä, joilla soitetaan samanaikaisesti.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L052	2.A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	toropilli		http://urn.fi/urn:nbn:fi:au:seko:01107		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > toropilli	Suomalainen kansanomainen, ruo'osta tai oljesta tehty klarinettisoitin, jossa on tuohinen kaikusuppilo.	Toropilli	Toropilli (tuohitorvi, tuohipilli, soropilli) on sormiaukoton olki- tai ruokopilli, jonka päässä on tuohesta kierretty kaikusuppilo. Tämän klarinettisoittimen lehdykkä voidaan viiltää myös onttoon pajuputkeen. Tuohisuppilon asemesta äänen voimakkuutta lisäämään on toisinaan käytetty nautaeläimen sarvea. Pillin pituus kaikusuppilon kera on 30-50 cm.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L053	2.A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	sormiaukollinen soropilli		http://urn.fi/urn:nbn:fi:au:seko:00975	soropilli	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > soropilli	Karjalainen ruo'osta tai oljesta valmistettu kansanomainen puhallinsoitin.						
L054	2.A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	sormiaukollinen toropilli		#N/A									
L055	2.A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	jatkoputkellinen larnetti		#N/A									
L056	2.A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	säkkipilli		http://urn.fi/urn:nbn:fi:au:seko:01024		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > oboesoitin > säkkipilli	Skalmeijatyyppinen puhallinsoitin, jota puhalletaan yleensä nahkaisen ilmasäiliön kautta.	Säkkipilli	Säkkipilli (maha, rakkopilli) on vasikan tai lehmän mahalaukusta tehty soitin. Rakkopillejä on tehty mm. sian virtsarakosta. Vanhan, kansanomaisen mallin mukaan säkkipilliin kuuluu vain kaksi putkea; esimerkiksi luusta tai messingistä valmistettu puhalluspilli sekä oletettavasti 6-8-reikäinen melodiapilli. Melodiapillin puisen sormiaukkoputken yläosassa, soittimen sisällä, on ruokoputkesta valmistettu klarinetin suukappale. Myöhemmin säkkipilleihin on alettu rakentaa eripituisia bordunapillejä säestämään melodiapillillä soitettavaa sävelmää.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L057	2.A.1.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty puuvarteen	422.2	huulipilli		#N/A				Huulipilli	Huulipilli (leppäpilli, pajupilli, pilli) on noin  3-7 cm pitkä puuputki, jonka  puhalluspäähän on vuoltu ohut, parin sentin mittainen lehdykkä. Tämän sormiaukottoman klarinettisoittimen putki on valmistettu vääntötekniikalla lepästä, männystä, pajusta tai koivusta. Soittajan kieli toimii klarinetin tulppana.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L058	2.A.1.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty puuvarteen	422.2	kelttitorvi		#N/A				Kelttitorvi	Kelttitorvi (pajutotto, paimentorvi, tuohitorvi) koostuu puurunkoisesta huulipillistä ja kaikusuppilosta, joka voi olla sarvea tai puunkuorta. Kelttipilli on saanut nimensä lehdykkäkappaleen materiaalin, männynkerkän eli keltin, mukaan. Pilliosa voidaan valmistaa myös pajusta ja lepästä. Torven pituus on 15-110 cm, riippuen torveksi kierrettävän tuohi- tai lepänkuorinauhan pituudesta.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L059	A.1.1.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on tehty luuhun tai metalliin		tronopilli		http://urn.fi/urn:nbn:fi:au:seko:01115		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > tronopilli	Suomalainen kansanomainen, pajun rungosta tehty klarinettisoitin.	Tronopilli	Tronopilli (mäntypilli, pajupilli) tehdään vääntämällä aikaansaadusta noin 20 cm pitkästä mänty- tai pajuputkesta, jonka puhalluspäähän on vuoltu huuli pilli. Pillissä on 2-6 sormiaukkoa.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L060	A.1.1.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on tehty luuhun tai metalliin		kaikusuppilollinen tronopilli		#N/A				Kaikusuppilollinen tronopilli	Kaikusuppilollinen tronopilli (leppäpilli, pajupilli) on 20-50 cm pitkä puurunkoinen klarinettisoitin, jonka päässä on puun kuoresta tai sarvesta valmistettu kaikusuppilo. Pajusta tai männystä valmistetussa ehytseinäisessä putkessa on 2-6 sormiaukkoa, joiden sormenpesät on muotoiltu neliskanttisiksi tai pyöreiksi.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L061	2.A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	läveri		http://urn.fi/urn:nbn:fi:au:seko:00630		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > läveri	Suomalainen, kansanomainen, sormiaukollinen klarinettisoitin.	Läveri	Läveri (leppäpilli, pajupilli) on noin 25 cm pitkä puurunkoinen klarinettisoitin, joka muodostuu sormiaukkoputken sisälle työnnetystä huulipillistä. Pajusta tai lepästä valmistetussa pillissä on 2-6 sormiaukkoa, joiden ympärille on vuoltu pyöreät sormenpesät.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L062	2.A.1.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, ehytputkiset, lehdykkä viilletty onttoon kasvivarteen	422.2	lävikkö		http://urn.fi/urn:nbn:fi:au:seko:00631		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > lävikkö	Suomalainen, kansanomainen, sormiaukollinen klarinettisoitin.	Lävikkö	Lävikkö (läveri, leppä- ja sarvipilli) on kolmiosainen klarinettisoitin, jonka kieli on viilletty onttoon puuputkeen tai ruokoon. Pajusta, lepästä tai männystä valmistetun, 15-20 cm pitkän, sormiaukkoputken päällä on 3-7 aukkoa melodioiden soittamista varten. Karjalaisalueella putkeen on tavallisesti koverrettu myös peukaloaukko.  Äänen voimakkuuden lisäämiseksi soittimessa on puunkuoresta tai sarvesta valmistettu kaikusuppilo.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L063	A.1.1.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on tehty luuhun tai metalliin		piiskuklarinetti		http://urn.fi/urn:nbn:fi:au:seko:00771	paimentorvi, tuohitorvi	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > piisku	Suomalainen linnunsulasta tehty puhallinsoitin.	Piiskuklarinetti	Piiskuklarinetti (piisku, paimentorvi ja -huilu) on soitinakennustekniikoiden yhdistelmä. Vääntötekniikalla aikaansaadun 20-30 cm pitkän paju- tai mäntyputken puhalluspään yläosa on vuoltu ohueksi lehdykäksi. Sen alla ollut putken osa on korvattu erillisellä kappaleella, joka on onteloitu sisältä, mutta jätetty kärjestään umpinaiseksi. Klarinettiin on toisinaan koverrettu 3 sormiaukkoa ja/tai liitetty sen alapäähän tuohinen kaikusuppilo. Komeissa paimentorvissa on usein myös juuresta tai tuohesta punottu kantokahva.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset eli osittain kiinteällä lehdykällä v
L064	2.A.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset klarinetit, halkioputkiset		leropilli		http://urn.fi/urn:nbn:fi:au:seko:00596		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > leropilli	Suomalainen, halkaistusta ja ontoksi koverretusta puusta tehty klarinettisoitin.	Leropilli	Leropilli (liropilli, pilli, lulletti) on puusta halkaisutekniikalla valmistettu klarinettisoitin. Pillissä on 2-8 polttamalla tehtyä sormiaukkoa, joihin on vuoltu sormenpesät. Koverretut puoliskot on liitetty yhteen narulla. Pillin päähän voidaan haluttaessa liittää ääntä voimistava tuohisuppilo.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
L065	2.A.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset klarinetit		sormiaukoton kärjennoukka		http://urn.fi/urn:nbn:fi:au:seko:00568	kärjennoukka	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > kärjennoukka	Eteläpohjalainen puhallinsoitin (klarinetti).	Kärjennoukka	Kärjennoukka (mm. häriänneukka, porsaanhuuli, puavopilli) on noin 10 cm pitkä, halkioputkinen klarinettisoitin. Putken alimmainen puolisko on koverrettu puhalluspään reunaa lukuunottamatta. Päällyskappaleessa on muutaman sentin pituinen, ohut kieli. Koverretut puoliskot on liitetty yhteen mm. vitsaksella, ruohositeellä, kuoriputkella tai soittamisen aikana sormin puristaen. Kärjennoukan voi tehdä mm. pajusta, lepästä, koivusta ja katajasta.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset eli osittain kiinteällä lehdykällä v
L066	2.A.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset klarinetit		sormiaukoton hautatorvi		#N/A				Hautatorvi	Hautatorvi syntyy, kun kärjennoukkaan liitetään tuohesta tai lepänkuoresta kaikusuppilo. ... Lajina sormiaukoton hautatorvi on jäänyt sormiaukollisen varianttinsa varjoon. 	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset eli osittain kiinteällä lehdykällä v
l067	2.A.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset klarinetit		sormiaukollinen kärjennoukka		http://urn.fi/urn:nbn:fi:au:seko:00568	kärjennoukka	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > kärjennoukka	Eteläpohjalainen puhallinsoitin (klarinetti).	Kärjennoukka	Sormiaukollinen kärjennoukka (mm. käriännoukka, planeetti, leppäpilli) on soittimen 15-30 cm pitkä versio, johon on kaiverrettu 3-5 sormenpesillä varustettua sormiaukkoa.				
l068	2.A.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset klarinetit		sormiaukollinen hautatorvi		http://urn.fi/urn:nbn:fi:au:seko:00399	hautatorvi	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > hautatorvi	Suomalainen kansanomainen, halkaistusta puupalasesta (kaikusuppilo tuohesta) tehty klarinettisoitin.	Hautatorvi	Hautatorvi syntyy, kun kärjennoukkaan liitetään tuohesta tai lepänkuoresta kaikusuppilo. ... Lajina sormiaukoton hautatorvi on jäänyt sormiaukollisen varianttinsa varjoon. 	Trumpetit			
L069	2.A.2	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset klarinetit		sporkkaklarinetti		#N/A				Sporkkaklarinetti	Sporkkaklarinetti (sporkka- ja mäntyhuilu) on 25-35 cm pitkä klarinettisoitin, joka  koostuu kahdesta sisäkkäin olevasta putkesta. Sormiaukkoputki on perinteisesti valmistettu männystä tai pajusta vääntämällä sydänpuu irti ulommaisista vuosilustoista. Putken sisäosasta on valmistettu halkaisemalla pienikokoinen kärjennoukka, jonka puoliskot alaosan putki puristaa tehokkaasti yhteen. Soittimessa on ollut yleensä kolme sormiaukkoa.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset eli osittain kiinteällä lehdykällä v
L070	2.A.3.1.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, putki on sarviainetta		sarviklarinetti		#N/A				Sarviklarinetti	Sarviklarinetti on pukin- tai nautaeläimen sarvesta valmistettu soitin. Sen vinoksi sahatun puhalluspään eteen on kiinnitetty ohut, yleensä tuohesta tai katajasta valmistettu lehdykkä. Sormiaukkoja klarinetissa on 2-6 kappaletta.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L071	2.A.3.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, putki on puuta		sormiaukoton mänkeri		http://urn.fi/urn:nbn:fi:au:seko:00690	mänkeri	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > mänkeri	Suomalainen, klarinettityyppinen, kansanomainen puhallinsoitin.	Mänkeri	Mänkeri (mäntyhuilu ja -pilli sekä holkki- ja loppipilli) on klarinettisoitin, joka perinteisesti rakennettu vääntötekniikalla irrotetusta 10-30 cm pitkästä mäntyputkesta. Klarinetin viistoon puhalluspäähän on kiinnitetty narulla ohut tuohi- tai katajalehdykkä.  Putken alapäähän on toisinaan kierretty tuohesta pieni kaikusuppilo. Sormiaukottomia mänkereitä on valmistettu männyn ohella myös naudan sääriluusta, koiranputkesta ja savukkeen imukkeesta.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L072	2.A.3.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, putki on puuta		sormiaukoton klarinettitorvi		#N/A	klarinettitorvi			Klarinettitorvi	Klarinettitorvi (tuohi- ja paementorvi) on 50-100 cm pitkä torvi, joka koostuu ehytputkisesta lehdykkäkappaleesta ja tuohisesta kaikusuppilosta. Klarinetin suukappale on valmistettu lepästä, männystä tai haavasta, ja varsinainen lehdykkä on katajaa, tuohta tai luuta. Kaikusuppilon pinnalle voidaan kääriä sisä- tai ulkotuohi, ja kierrokset päätellään tuohisoljella, vitsaksella tai halkaistulla puutikulla.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L073	2.A.3.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, putki on puuta		sormiaukollinen klarinettitorvi		#N/A	klarinettitorvi			Sormiaukollinen klarinettitorvi	Sormiaukollinen klarinettitorvi (luuru- ja tuohitorvi, tuohihuilu) on katajasta poraamalla valmistettu 1-3-aukkoinen soitin, jonka päässä on 40-100 cm pitkä tuohinen kaikusuppilo. Ohut lehdykkä on valmistettu katajasta.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L074	2.A.3.1.2	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, putki on puuta		sormiaukollinen mänkeri		#N/A									
L075	2.A.3.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, putki on puuta		liimalehdykkäinen klarinetti		http://urn.fi/urn:nbn:fi:au:seko:00512	klarinetti	puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > klarinetti	Eurooppalainen puupuhallin, jossa on yksinkertainen värähtelevä ruokolehti.	Liimalehdykkäinen klarinetti	Liimalehdykkäinen klarinetti (tronopilli) muodostuu männystä väännetystä putkesta, jonka yläpäähän on vuoltu muutaman sentin pituinen, suorakaiteen muotoinen lovi. Puhallluspää on tukittu tulpalla ja aukon kohdalle on liimattu ohut puinen lehdykkä. Noin 20 cm pitkä soitin on muotoiltu kartiomaiseksi ja siihen on poltettu kolme sormiaukkoa.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
