Leisiö-id	class	taso1	taso2	taso3	H-S	soitin	finna: äänite/esine	seko	notes	seko:hierarkia	skos:definition	soitin	mh-definition	Luokka	alaluokka	ryhmä	tyyppi
L005	A.1.1.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on leikattu putkikasviin tai kuriputkeen		jatkoslötkö	1	#N/A				Jatkoslötkö	Jatkoslötkö on kaksiosainen huilusoitin, jonka rakentamiseen käytetään 5 cm pitkä ja 2 cm paksu pajunoksa sekä 15-30 cm pitkä mäntyputki. Huilun puhalluspää muodostuu alapäästään avoimesta pajupillistä, jonka tulppa tukee kuoriputkea alapuolelta. Pajupilli työnnetään mäntyputkeen, johon on tehty 3-4 sormiaukkoa ja liitoskohta peitetään ohuella tuohisuikaleella.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L006	A.1.1.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on leikattu putkikasviin tai kuriputkeen		avoin kynäpiisku		#N/A	kynäpiisku			Kynäpiisku	Avoin kynäpiisku (pyypilli) on muutaman sentin mittainen sormiaukoton huilu, joka on valmistettu linnun sulan kynästä tai sääriluusta. Kynäpiiskun voi valaa myös tinasta.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L007	A.1.1.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on tehty luuhun tai metalliin		avoin metallipyypilli		http://urn.fi/urn:nbn:fi:au:seko:00825	pyypilli	huilusoitin > tulppakanavahuilu > pilli > pyypilli	Suomalainen kansanomainen tinapilli.	Avoin metallipyypilli	Avoin metallipyypilli (pyypilli) on 4-7 cm pitkä, tinasta tailyijystä valettu huilusoitin. 	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L008	A.1.1.3	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on viilletty puuputkeen		kazapilli	1	#N/A				Kazapilli	Kazapilli on 10-20 cm pitkä, sormiaukoton huilusoitin, joka on perinteisesti valmistettu vääntämällä valmistetusta mäntyputkesta. Pillin viistosta puhalluspäästä ilma ohjautuu tulpan ja rungon välistä särmäaukkoon.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L009	A.1.1.3	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on viilletty puuputkeen		kaza		http://urn.fi/urn:nbn:fi:au:seko:00481	kaza (tulppakanavahuilu)	huilusoitin > tulppakanavahuilu > kaza (tulppakanavahuilu)	Karjalainen, kansanomainen huilusoitin.	Kaza	Kaza on mäntyputkesta valmistettu, sormiaukollinen huilu. Soittimessa on tylppä puhalluspää, kiinteä tulppa ja särmäaukko. Perinteisesti pajusta tai lepästä valmistetussa kazassa on ollut 2-5 sormiaukkoa.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L010	A.1.1.3	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on viilletty puuputkeen		jatkoskaza		#N/A				Jatkoskaza	Jatkoskaza (mäntyhuilu) on kaksiosainen huilu, joka valmistetaan männystä vääntötekniikalla. 15-25 cm pitkän soittimen suukappaleessa on tulppa ja särmäaukko. Ohuemmassa, suukappaleen sisään työnnetyssä pidemmässä putkessa, on muutama sormiaukko. Jatkoskazasta on vain yksi tieto Varsinais-Suomesta; yleisesti sen voidaan katsoa olevan länsisuomalainen kehitelmä huilusta. 	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L011	A.1.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset alasärmäiset		alasärmähuilu		#N/A				Alasärmähuilu	Alasärmähuilu (puupilli) on tulppakanavahuilu, jossa särmäaukko on tylpän puhalluspään alapuolella. Noin 25-45 cm pitkän huilun muoto on valmistettu sorvaamalla tai pintaa on koristeltu veistelemällä. Putki on valmistettu poikkeuksellisesti poraamalla ja 4-6 sormiaukkoa on tehty raudalla polttamalla.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: alasärmäiset
L012	A.1.3.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Umpinaiset kiinteärunkoiset		normaalipajupilli		http://urn.fi/urn:nbn:fi:au:seko:00739	pajupilli	huilusoitin > tulppakanavahuilu > pajupilli	Kansanomainen tulppakanavahuilu.	Pajupilli / pyypilli	Pajupilli (mm. leppäpilli, -luiru, rakkopilli, karihuil) on noin 10 cm pitkä ja 1-3 cm paksu huilusoitin, jossa tulppa on kiinteä osa huilun rakennetta. Pillin rakennusaineena voidaan käyttää pajun ohella mm. leppää, haapaa ja pihlajaa.	Huilut	A. Sylinterimäiset tulppakanavahuilut		
L012B	A.1.3.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Umpinaiset kiinteärunkoiset		pyypilli		http://urn.fi/urn:nbn:fi:au:seko:00825		huilusoitin > tulppakanavahuilu > pilli > pyypilli	Suomalainen kansanomainen tinapilli.						
L013	A.1.3.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Umpinaiset kiinteärunkoiset		pillipäinen tuohitorvi		#N/A				Pillipäinen tuohitorvi	Pillipäinen tuohitorvi on pajupilli, jonka päällä on tuohisuppilo. Tuohitorven merkitys pajupillin ympärillä liittyy äänenväriin, eikä se lisää äänen kuuluvuutta.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: kiinteärunkoiset
