seko,deprekotu,skos:preflLabel@fi,skos:prefLabel@sv,skos:prefLabel@en,skos:altLabel,alt_lang,skos:hiddenLabel,hidden_lang,spatial-uri,dct:spatial,skos:broader,skos:broader_prefLabel,issuet skos-note,YSO-ID,wikidata-id,skos:editorialNote,H&S,MIMO-ID,SEKO-LCMPT-mapping,LCMPT-ID,rdfs:seeAlso
http://urn.fi/urn:nbn:fi:au:seko:00005,,5-kielinen kantele,femsträngad kantele,five string kantele,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,http://www.wikidata.org/entity/Q116189258,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373,
http://urn.fi/urn:nbn:fi:au:seko:00005,,,,,femsträngad kantele,sv,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00005,,,,,viisikielinen kantele,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00005,,,,,,,femstrangad kantele,sv,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00006,,5-rivinen harmonikka,femradigt dragspel,five-row button accordion,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00710,näppäinharmonikka,,,http://www.wikidata.org/entity/Q116189123,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015001,
http://urn.fi/urn:nbn:fi:au:seko:00006,,,,,viisirivinen harmonikka,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00007,,6-rivinen harmonikka,sexradigt dragspel,six-row button accordion,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00710,näppäinharmonikka,,,http://www.wikidata.org/entity/Q116189217,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015108,
http://urn.fi/urn:nbn:fi:au:seko:00007,,,,,kuusirivinen harmonikka,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,7-kielinen kitara,7-strängad gitarr,seven-string guitar,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,,https://www.wikidata.org/entity/Q2096201,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,Russian guitar,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,seitsemänkielinen kitara,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,seitsenkielinen kitara,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,semistrunka,ru,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,semistrunnaja gitara,ru,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,violão de sete cordas,pt,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,,,seitsemankielinen kitara,fi,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,,,,violao de sete cordas,pt,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00009,,9-kielinen kantele,9-strängad kantele,nine-string kantele,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,http://www.wikidata.org/entity/Q116189309,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373,
http://urn.fi/urn:nbn:fi:au:seko:00009,,,,,yhdeksänkielinen kantele,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00009,,,,,,,yhdeksankielinen kantele,fi,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00010,,10-kielinen kantele,10-strängad kantele,ten string kantele,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,http://www.wikidata.org/entity/Q116189294,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373,
http://urn.fi/urn:nbn:fi:au:seko:00010,,,,,kymmenenkielinen kantele,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00010,,,,,kymmenkielinen kantele,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,10-kielinen kitara,10-strängad gitarr,ten-string guitar,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,,https://www.wikidata.org/entity/Q2569413,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,,,,décacorde (kitara),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,,,,kymmenenkielinen kitara,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,,,,kymmenkielinen kitara,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,,,,,,decacorde (kitara),fi,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00012,,12-kielinen kitara,12-strängad gitarr,twelve-string guitar,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,,http://www.wikidata.org/entity/Q678090,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00012,,,,,kaksitoistakielinen kitara,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00013,,13-kielinen kantele,13-strängad kantele,13-string kantele,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,http://www.wikidata.org/entity/Q116189338,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373,
http://urn.fi/urn:nbn:fi:au:seko:00013,,,,,kolmetoistakielinen kantele,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00014,,aburukuwa,aburukuwa,aburukuwa,,,,,<http://www.yso.fi/onto/yso/p106015>,Ghana,http://urn.fi/urn:nbn:fi:au:seko:01040,talking drum,,,http://www.wikidata.org/entity/Q3395204,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00014,,,,,abrukwa,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00015,,acordeon,acordeon,acordeon,,,,,<http://www.yso.fi/onto/yso/p105030>,Romania,http://urn.fi/urn:nbn:fi:au:seko:00015,pianoharmonikka,,,https://www.wikidata.org/entity/Q109120755,,,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015001,
http://urn.fi/urn:nbn:fi:au:seko:00016,,adufe,adufe,adufe,,,,,"<http://www.yso.fi/onto/yso/p105209>,<http://www.yso.fi/onto/yso/p105409>,<http://www.yso.fi/onto/yso/p105005>",Espanja|Portugal|Latinalainen Amerikka,http://urn.fi/urn:nbn:fi:au:seko:01050,tamburiini,,,https://www.wikidata.org/entity/Q13408004,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,,afuchê,cabasa,cabasa,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00627,lyömäsoitin,https://github.com/NatLibFi/SEKO/issues/25,,http://www.wikidata.org/entity/Q1024685,"MERGE  with ""cabasa"" seko:00177?",,,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,,,,,afochê,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,,,,,cabasa,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,,,,,,,afoche,fi,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,,,,,,,afuche,fi,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00018,,agbomboya,agbomboya,agbomboya,,,,,<http://www.yso.fi/onto/yso/p105850>,Zaire,http://urn.fi/urn:nbn:fi:au:seko:00709,näppäilysoitin,,,https://www.wikidata.org/entity/Q101967894,,,,,,https://www.oxfordreference.com/view/10.1093/acref/9780199743391.001.0001/acref-9780199743391-e-65
http://urn.fi/urn:nbn:fi:au:seko:00018,,,,,abongboya,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00019,,agbosí,agbosí,agbosí,,,,,<http://www.yso.fi/onto/yso/p105269>,Kuuba,http://urn.fi/urn:nbn:fi:au:seko:00864,rumpu,,,https://www.wikidata.org/entity/Q101968884,,,,,,https://www.oxfordmusiconline.com/grovemusic/view/10.1093/gmo/9781561592630.001.0001/omo-9781561592630-e-4002255486
http://urn.fi/urn:nbn:fi:au:seko:00019,,,,,agbosi,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00020,,agidigbo,agidigbo,agidigbo,,,,,"<http://www.yso.fi/onto/yso/p104989>,<http://www.yso.fi/onto/yso/p109225>",Nigeria|Benin,http://urn.fi/urn:nbn:fi:au:seko:00709,näppäilysoitin,,,https://www.wikidata.org/entity/Q4692521,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00021,,agogô,agogô,agogo,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00485,kello,,,https://www.wikidata.org/entity/Q395212,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2014015007,https://musicbrainz.org/instrument/f341241c-6a19-4ed9-acb0-0b89fe0bfdef
http://urn.fi/urn:nbn:fi:au:seko:00021,,,,,agogô,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00021,,,,,can can,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00022,,agogô triplo,agogô triplo,agogô triplo,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00485,kello,,,http://www.wikidata.org/entity/Q116163586,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00022,,,,,agogo triplo,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00022,,,,,triple agogo,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00023,,agung,agung,agung,,,,,"<http://www.yso.fi/onto/yso/p105242>,<http://www.yso.fi/onto/yso/p105717>",Indonesia|Malesia,http://urn.fi/urn:nbn:fi:au:seko:00376,gongi,,,https://www.wikidata.org/entity/Q398619,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00024,,aidatrumpetti,aidatrumpet,tromba egiziana,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:01117,trumpetti,,,https://www.wikidata.org/entity/Q10403797,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00024,,,,,egyptiläinen trumpetti,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00025,,aizai,aizai,aizai,,,,,<http://www.yso.fi/onto/yso/p104984>,Kiina,http://urn.fi/urn:nbn:fi:au:seko:00715,oboesoitin,,,https://www.wikidata.org/entity/Q411553,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00025,,,,,ǎizǎi,cn,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00025,,,,,nán'ǎi,cn,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00026,,ajaeng,ajaeng,ajaeng,,,,,<http://www.yso.fi/onto/yso/p109302>,Korea,http://urn.fi/urn:nbn:fi:au:seko:00446,jousisoitin,,,https://www.wikidata.org/entity/Q411880,,,http://www.mimo-db.eu/InstrumentsKeywords/3829,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015007,https://musicbrainz.org/instrument/51d4054b-b13a-47bd-9ff4-cfc42009c42c;
http://urn.fi/urn:nbn:fi:au:seko:00027,,akustinen kitara,akustisk gitarr,acoustic guitar,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,http://www.yso.fi/onto/yso/p22040,http://www.wikidata.org/entity/Q31561,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015306,
http://urn.fi/urn:nbn:fi:au:seko:00027,,,,,ac-g (akustinen kitara),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00027,,,,,flamencokitara,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00028,,alasin,städ,anvil,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00627,lyömäsoitin,,,http://www.wikidata.org/entity/Q16632086,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00029,,alboka,alboka,alboka,,,,,<http://www.yso.fi/onto/yso/p138291>,Baskimaa,http://urn.fi/urn:nbn:fi:au:seko:00715,oboesoitin,,,https://www.wikidata.org/entity/Q313053,,,,,lcmpt:mp2013015008,https://musik-instrument.se/alboka/
http://urn.fi/urn:nbn:fi:au:seko:00029,,,,,albogue,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00030,,algaita,algaita,algaita,,,,,<http://www.yso.fi/onto/yso/p118210>,Länsi-Afrikka,http://urn.fi/urn:nbn:fi:au:seko:00715,oboesoitin,,,https://www.wikidata.org/entity/Q2646434,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00031,,algoja,algoja,alghoza,,,,,"<http://www.yso.fi/onto/yso/p235078>,<http://www.yso.fi/onto/yso/p105965>",Pohjois-Intia|Pakistan,http://urn.fi/urn:nbn:fi:au:seko:01134,tulppakanavahuilu,,,https://www.wikidata.org/entity/Q568883,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015009,
http://urn.fi/urn:nbn:fi:au:seko:00032,,alppitorvi,alphorn,alphorn,,,,,<http://www.yso.fi/onto/yso/p115088>,Alpit,http://urn.fi/urn:nbn:fi:au:seko:00819,puutrumpetti,,http://www.yso.fi/onto/yso/p29787,http://www.wikidata.org/entity/Q685206,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015010,
http://urn.fi/urn:nbn:fi:au:seko:00032,,,,,alpenhorn,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00032,,,,,alpine horn,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00033,,altto,kontraalt,contralto,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00654,matala lauluääni,,http://www.yso.fi/onto/yso/p29967,http://www.wikidata.org/entity/Q37137,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015017,
http://urn.fi/urn:nbn:fi:au:seko:00033,,,,,A (altto),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00033,,,,,kontra-altto,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00033,,,,,,,altto (aanialat),fi,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,alttochalumeau,altchalumeau,alto chalumeau,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00198,chalumeau,,,http://www.wikidata.org/entity/Q116189361,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015125,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,,alt chalumeau,sv,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,,alt-chalimou,sv,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,,Altchalumeau,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,,Quart-Chalumeau,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,,secont chalimou,fr,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00035,,alttogamba,altgamba,alto viol,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:01185,viola da gamba,,,http://www.wikidata.org/entity/Q52769618,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00035,,,,,alto viola da gamba,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,alttohuilu,altflöjt,alto flute,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00417,huilu,,,http://www.wikidata.org/entity/Q544352,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015012,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,altfluit,nl,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,altfløjte,da,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,altfløyte,no,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,alto flüt,tr,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,flauta alto,sp,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,flauta contralto,pt,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,flauto contralto,it,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,flûte alto,fr,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,flûte en sol,fr,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,G-fløjte,da,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,Quartflöte,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,altflojt,sv,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,altflojte,da,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,altfloyte,no,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,alto flut,fr,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,flute alto,fr,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,flute en sol,fr,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,G-flojte,da,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,,,,Quartflote,de,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00037,,alttoklarinetti,altklarinett,alto clarinet,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00512,klarinetti,,,http://www.wikidata.org/entity/Q656766,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015011,
http://urn.fi/urn:nbn:fi:au:seko:00038,,alttonokkahuilu,altblockflöjt,treble recorder,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00704,nokkahuilu,,,https://www.wikidata.org/entity/Q15791824,,,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015014,
http://urn.fi/urn:nbn:fi:au:seko:00038,,,,,Altblockflöte,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00038,,,,,,,Altblockflote,de,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00039,,alttopasuuna,alttrombon,alto trombone,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00752,pasuuna,,,https://www.wikidata.org/entity/Q94698251,,,,skos:closeMatch,"http://id.loc.gov/authorities/performanceMediums/mp2013015016, http://id.loc.gov/authorities/performanceMediums/mp2013015607",
http://urn.fi/urn:nbn:fi:au:seko:00039,,,,,alto sackbut,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00039,,,,,Altposaune,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00040,,alttosaksofoni,altsaxofon,alto sax,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00879,saksofoni,,,https://www.wikidata.org/entity/Q445275,saxonette http://urn.fi/urn:nbn:fi:au:seko:86527,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015015,
http://urn.fi/urn:nbn:fi:au:seko:00040,,,,,altto (alttosaksofoni),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00040,,,,,alttofoni,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00040,,,,,as (alttosaksofoni),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,,alttosinkki,altsinka,treble cornett,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00571,käyrä sinkki,,,http://www.wikidata.org/entity/Q116213820,DISTINGUISH FROM cornettino http://www.wikidata.org/entity/Q5171699,,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015185,
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,,Chorzink,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,,cornet à bouquin alto,fr,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,,kuorosinkki,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,,recht Chorzinck,de,,,,,,,,,,,,,,,
